PAINT_SQUARE 6 14 1
PAINT_SQUARE 10 161 5
PAINT_SQUARE 6 188 1
PAINT_SQUARE 6 191 1
PAINT_SQUARE 10 6 1
PAINT_SQUARE 10 17 1
PAINT_SQUARE 10 20 1
PAINT_SQUARE 19 32 10
PAINT_SQUARE 11 45 2
PAINT_SQUARE 11 50 2
PAINT_SQUARE 11 55 2
PAINT_SQUARE 15 123 6
PAINT_SQUARE 15 136 6
PAINT_SQUARE 12 146 3
PAINT_SQUARE 12 11 1
PAINT_SQUARE 12 93 1
PAINT_SQUARE 18 69 5
PAINT_SQUARE 18 80 5
PAINT_SQUARE 15 175 2
PAINT_SQUARE 15 180 2
PAINT_SQUARE 15 185 2
PAINT_SQUARE 14 189 1
PAINT_SQUARE 19 101 5
PAINT_SQUARE 18 111 4
PAINT_SQUARE 19 146 3
PAINT_SQUARE 20 160 4
PAINT_SQUARE 17 189 1
PAINT_SQUARE 18 52 1
PAINT_SQUARE 18 55 1
PAINT_SQUARE 18 58 1
PAINT_SQUARE 18 61 1
PAINT_SQUARE 24 12 2
PAINT_SQUARE 24 17 2
PAINT_SQUARE 23 141 1
PAINT_SQUARE 24 109 1
PAINT_SQUARE 24 112 1
PAINT_SQUARE 26 146 3
PAINT_SQUARE 28 46 3
PAINT_SQUARE 28 53 3
PAINT_SQUARE 28 60 3
PAINT_SQUARE 27 125 2
PAINT_SQUARE 27 130 2
PAINT_SQUARE 27 135 2
PAINT_SQUARE 27 140 2
PAINT_SQUARE 27 175 2
PAINT_SQUARE 27 180 2
PAINT_SQUARE 27 185 2
PAINT_SQUARE 26 189 1
PAINT_SQUARE 27 109 1
PAINT_SQUARE 30 114 1
PAINT_SQUARE 30 170 1
PAINT_SQUARE 33 170 1
PAINT_LINE 18 185 18 185
PAINT_LINE 18 186 18 186
PAINT_LINE 18 187 18 187
PAINT_LINE 20 52 20 52
PAINT_LINE 20 53 20 53
PAINT_LINE 20 54 20 54
PAINT_LINE 20 55 20 55
PAINT_LINE 20 56 20 56
PAINT_LINE 20 57 20 57
PAINT_LINE 20 58 20 58
PAINT_LINE 20 59 20 59
PAINT_LINE 20 60 20 60
PAINT_LINE 20 61 20 61
PAINT_LINE 20 62 20 62
PAINT_LINE 22 20 27 20
PAINT_LINE 23 107 24 107
PAINT_LINE 23 114 24 114
PAINT_LINE 23 115 24 115
PAINT_LINE 24 63 24 63
PAINT_LINE 24 64 24 64
PAINT_LINE 24 65 24 65
PAINT_LINE 24 66 24 66
PAINT_LINE 24 67 24 67
PAINT_LINE 24 68 24 68
PAINT_LINE 24 69 24 69
PAINT_LINE 24 70 24 70
PAINT_LINE 24 71 24 71
PAINT_LINE 24 72 24 72
PAINT_LINE 24 73 24 73
PAINT_LINE 24 74 24 74
PAINT_LINE 24 75 24 75
PAINT_LINE 24 76 24 76
PAINT_LINE 24 77 24 77
PAINT_LINE 24 78 24 78
PAINT_LINE 24 79 24 79
PAINT_LINE 24 80 24 80
PAINT_LINE 24 81 24 81
PAINT_LINE 24 82 24 82
PAINT_LINE 24 83 24 83
PAINT_LINE 24 84 24 84
PAINT_LINE 24 85 24 85
PAINT_LINE 25 4 26 4
PAINT_LINE 25 5 26 5
PAINT_LINE 25 6 26 6
PAINT_LINE 25 7 26 7
PAINT_LINE 25 8 26 8
PAINT_LINE 25 9 26 9
PAINT_LINE 25 191 28 191
PAINT_LINE 26 111 28 111
PAINT_LINE 26 112 28 112
PAINT_LINE 27 105 28 105
PAINT_LINE 27 106 28 106
PAINT_LINE 27 107 28 107
PAINT_LINE 28 188 29 188
PAINT_LINE 28 189 29 189
PAINT_LINE 28 190 29 190
PAINT_LINE 29 116 32 116
PAINT_LINE 29 172 36 172
PAINT_LINE 30 22 31 22
PAINT_LINE 30 23 31 23
PAINT_LINE 30 24 31 24
PAINT_LINE 30 25 31 25
PAINT_LINE 30 26 31 26
PAINT_LINE 30 27 31 27
PAINT_LINE 30 28 31 28
PAINT_LINE 30 29 31 29
PAINT_LINE 30 30 31 30
PAINT_LINE 30 31 31 31
PAINT_LINE 30 32 31 32
PAINT_LINE 30 33 31 33
PAINT_LINE 30 34 31 34
PAINT_LINE 30 35 31 35
PAINT_LINE 30 36 31 36
PAINT_LINE 30 37 31 37
PAINT_LINE 30 38 31 38
PAINT_LINE 30 39 31 39
PAINT_LINE 30 40 31 40
PAINT_LINE 30 41 31 41
PAINT_LINE 30 42 31 42
PAINT_LINE 32 113 32 113
PAINT_LINE 32 114 32 114
PAINT_LINE 32 115 32 115
PAINT_LINE 33 173 34 173
PAINT_LINE 35 169 36 169
PAINT_LINE 35 170 36 170
PAINT_LINE 35 171 36 171
ERASE_CELL 10 16
ERASE_CELL 13 10
ERASE_CELL 13 92
ERASE_CELL 13 173
ERASE_CELL 17 51
ERASE_CELL 22 10
ERASE_CELL 25 108
ERASE_CELL 25 113
ERASE_CELL 26 108
